CCLE_cell_line_names,GDSC_cell_line_names,CTRP_cell_line_names,Consensus_cell_line_names
,Caov-4,,Caov4
,CAPAN-1,CAPAN1,CAPAN1
,CaR-1,,CaR1
CAS1_CENTRAL_NERVOUS_SYSTEM,CAS-1,CAS1,CAS1
CCK81_LARGE_INTESTINE,,CCK81,CCK81
,CCF-STTG1,CCFSTTG1,CCFSTTG1
,CCRF-CEM,,CCRFCEM
,CESS,,CESS
,CFPAC-1,CFPAC1,CFPAC1
,CGTH-W-1,CGTHW1,CGTHW1
,ChaGo-K-1,CHAGOK1,CHAGOK1
CHL1_SKIN,CHL-1,,CHL1
,CHP-126,CHP126,CHP126
,CHP-134,,CHP134
CHP212_AUTONOMIC_GANGLIA,CHP-212,CHP212,CHP212
,CMK,CMK,CMK
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,CI1,CI1
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,CMK86
COLO201_LARGE_INTESTINE,,COLO201,COLO201
COLO205_LARGE_INTESTINE,COLO-205,COLO205,COLO205
COLO320_LARGE_INTESTINE,COLO-320-HSR,COLO320,COLO320
COLO677_LUNG,,,COLO677
,COLO-668,COLO668,COLO668
COLO678_LARGE_INTESTINE,COLO-678,COLO678,COLO678
COLO679_SKIN,COLO-679,,COLO679
,COLO-680N,COLO680N,COLO680N
,COLO-684,COLO684,COLO684
COLO699_LUNG,,COLO699,COLO699
COLO741_SKIN,COLO-741,COLO741,COLO741
,COLO-792,COLO792,COLO792
,COLO-800,COLO800,COLO800
,COLO-824,,COLO824
,COLO-829,COLO829,COLO829
CORL105_LUNG,COR-L105,CORL105,CORL105
CORL23_LUNG,COR-L23,,CORL23
,COR-L279,CORL279,CORL279
,COR-L88,CORL88,CORL88
,CP50-MEL-B,,CP50MELB
,CP66-MEL,,CP66MEL
,CP67-MEL,,CP67MEL
,CPC-N,,CPCN
,CRO-AP2,,CROAP2
,CTB-1,,CTB1
,CTV-1,,CTV1
,CW-2,CW2,CW2
COV318_OVARY,,,COV318
COV504_OVARY,,,COV504
