lineage_name	cell_line_name	accession_id	synonym_names	CCLE_Name	gdsc_id	nci_taxonomy_id	doid	doid_heiarchy	Broad_ID	broad_id_alt	grouped_general_doid	group_general_lineage_name
27	adult acute monocytic leukemia	NOMO-1	CVCL_1609	['Nomo-1', 'NOMO1']	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	908451	C8263	DOID:0080149	[u'DOID:0080149', u'DOID:8864', u'DOID:8527', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000168		DOID:1240	leukemia
28	adult acute monocytic leukemia	Mono-Mac-6	CVCL_1426	['MONO-MAC-6', 'Mono-mac-6', 'MONO-MAC6', 'MonoMac6', 'MonoMac6', 'MonoMac6', 'MonoMac6', 'MONOMAC6', 'MM6']	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	908148	C8263	DOID:0080149	[u'DOID:0080149', u'DOID:8864', u'DOID:8527', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000006		DOID:1240	leukemia
29	adult acute monocytic leukemia	U-937	CVCL_0007	['U937', 'U937']	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	C8263	DOID:0080149	[u'DOID:0080149', u'DOID:8864', u'DOID:8527', u'DOID:8692', u'DOID:1240', u'DOID:2531', u'DOID:0060083', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000406		DOID:1240	leukemia
30	adult acute myeloid leukemia	Kasumi-6	CVCL_0614	['KASUMI-6', 'KASUMI6']	KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	C9154	DOID:9119	[DOID:9119, DOID:8692, DOID:1240, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000166		DOID:1240	leukemia
31	adult acute myeloid leukemia	NKM-1	CVCL_1607	['NKM1']	NKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	908448	C9154	DOID:9119	[DOID:9119, DOID:8692, DOID:1240, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-002290		DOID:1240	leukemia
32	adult acute myeloid leukemia	MC-1010	CVCL_1396	['MC1010 ']	MC1010_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	907798	C9154	DOID:9119	[DOID:9119, DOID:8692, DOID:1240, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-002390		DOID:1240	leukemia
33	adult acute myeloid leukemia	KO52	CVCL_1321	['K052']	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1330932	C9154	DOID:9119	[DOID:9119, DOID:8692, DOID:1240, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000498		DOID:1240	leukemia
34	adult acute myeloid leukemia	ML-2	CVCL_1418	['ML2']	ML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	908141	C9154	DOID:9119	[DOID:9119, DOID:8692, DOID:1240, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-002273		DOID:1240	leukemia
35	adult acute myeloid leukemia	MUTZ-3	CVCL_1433	['Mutz-3', 'MUTZ3', 'Mutz3']	MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	C9154	DOID:9119	[DOID:9119, DOID:8692, DOID:1240, DOID:2531, DOID:0060083, DOID:0050686, DOID:162, DOID:14566, DOID:4]	ACH-000084		DOID:1240	leukemia
36	alveolar rhabdomyosarcoma	KYM-1	CVCL_3007	['Kym-1', 'KYM1']	KYM1_SOFT_TISSUE	1240166	C3749	DOID:4051	[u'DOID:4051', u'DOID:3247', u'DOID:4043', u'DOID:4045', u'DOID:0060100', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000607		DOID:3247	rhabdomyosarcoma
37	alveolar rhabdomyosarcoma	Rh41	CVCL_2176	['RH41', 'RH-41', 'Rh-41']	RH41_SOFT_TISSUE	1240210	C3749	DOID:4051	[u'DOID:4051', u'DOID:3247', u'DOID:4043', u'DOID:4045', u'DOID:0060100', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000100		DOID:3247	rhabdomyosarcoma
38	alveolar rhabdomyosarcoma	Rh30	CVCL_0041	['RH30', 'RH-30', 'Rh-30', 'RH30SJ', 'SJRH-30', 'SJRH30', 'SJ-RH30', 'SJ-Rh30', 'SJRH30', 'SJCRH30', 'RC13', 'RMS13', 'RMS13',’RMS13_SOFT_TISSUE ‘,’SJRH30_SOFT_TISSUE ‘]	RH30_SOFT_TISSUE	909716	C3749	DOID:4051	[u'DOID:4051', u'DOID:3247', u'DOID:4043', u'DOID:4045', u'DOID:0060100', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000833	[‘ACH-001189’,’ACH-001741’]	DOID:3247	rhabdomyosarcoma
39	alveolar rhabdomyosarcoma	Rh18	CVCL_1659	['RH18', 'RH-18', 'Rh-18', 'SJRH-18', 'SJRH18']	RH18_SOFT_TISSUE	971774	C3749	DOID:4051	[u'DOID:4051', u'DOID:3247', u'DOID:4043', u'DOID:4045', u'DOID:0060100', u'DOID:0050686', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000689		DOID:3247	rhabdomyosarcoma
40	amelanotic melanoma	M14	CVCL_1395	['M14-MEL', 'UCLA-SO-M14', 'UCLASOM14', 'UCLA-SO-14', 'Melanoma14', 'M-14']	M14_SKIN	905975	C3802	DOID:4359	[u'DOID:4359', u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-002159		DOID:4159	skin cancer
41	amelanotic melanoma	A-375	CVCL_0132	['A375', 'A375', 'A375-MEL', 'A375-mel', 'A375mel']	A375_SKIN	906793	C3802	DOID:4359	[u'DOID:4359', u'DOID:1909', u'DOID:0050687', u'DOID:162', u'DOID:14566', u'DOID:4']	ACH-000219		DOID:4159	skin cancer
