"","DepMap_ID","Cell_line","CCLE_name","CCLE_histology","disease"
"1012","ACH-001028","CHLA06ATRT","CHLA06ATRT_SOFT_TISSUE","soft_tissue","rhabdoid"
"1013","ACH-001029","CHLA10","CHLA10_BONE","bone","bone"
"1014","ACH-001030","CHLA218","CHLA218_BONE","bone","bone"
"1015","ACH-001031","CHLA266","CHLA266_SOFT_TISSUE","soft_tissue","rhabdoid"
"1016","ACH-001032","CHLA32","CHLA32_BONE","bone","bone"
"1017","ACH-001033","CHLA57","CHLA57_BONE","bone","bone"
"1018","ACH-001034","CHLA9","CHLA9_BONE","bone","bone"
"1019","ACH-001035","CHLA99","CHLA99_BONE","bone","bone"
"1020","ACH-001036","CMK115","CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1021","ACH-001037","CMK86","CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1022","ACH-001038","COGE352","COGE352_BONE","bone","bone"
"1023","ACH-001039","COLO205","COLO205_LARGE_INTESTINE","large_intestine","colorectal"
"1024","ACH-001041","COLO699","COLO699_LUNG","lung","lung"
"1025","ACH-001042","COLO704","COLO704_OVARY","ovary","ovarian"
"1026","ACH-001043","COLO775","COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1027","ACH-001044","COLO818","COLO818_SKIN","skin","skin"
"1028","ACH-001045","COLO849","COLO849_SKIN","skin","skin"
"1029","ACH-001047","CORL51","CORL51_LUNG","lung","lung"
"1030","ACH-001048","COV504","COV504_OVARY","ovary","ovarian"
"1031","ACH-001049","CPCN","CPCN_LUNG","lung","lung"
"1032","ACH-001050","CW9019","CW9019_SOFT_TISSUE","soft_tissue","rhabdomyosarcoma"
"1033","ACH-001052","D384","D384_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1034","ACH-001053","D425","D425_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1035","ACH-001054","D458","D458_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1036","ACH-001055","D556","D556_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1037","ACH-001057","DERL2","DERL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1038","ACH-001059","DL","DL_SOFT_TISSUE","soft_tissue","rhabdoid"
"1039","ACH-001060","DL40","DL40_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1040","ACH-001061","DLD1","DLD1_LARGE_INTESTINE","large_intestine","colorectal"
"1041","ACH-001063","DOV13","DOV13_OVARY","ovary","ovarian"
"1042","ACH-001064","EB2","EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1043","ACH-001065","EVSAT","EVSAT_BREAST","breast","breast"
"1044","ACH-001066","EWS834","EWS834_BONE","bone","bone"
"1045","ACH-001067","F5","F5_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
"1046","ACH-001068","FEPD","FEPD_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1047","ACH-001071","GLC82","GLC82_LUNG","lung","lung"
"1048","ACH-001072","GRM","GRM_SKIN","skin","skin"
"1049","ACH-001075","NCIH292","NCIH292_LUNG","lung","lung"
"1050","ACH-001078","HCC1588","HCC1588_LUNG","lung","lung"
"1051","ACH-001079","HCC1897","HCC1897_LUNG","lung","lung"
"1052","ACH-001081","HCC2998","HCC2998_LARGE_INTESTINE","large_intestine","colorectal"
"1053","ACH-001084","HCT8","HCT8_LARGE_INTESTINE","large_intestine","colorectal"
"1054","ACH-001086","HELA","HELA_CERVIX","cervix","cervix"
"1055","ACH-001087","HK2","HK2_KIDNEY","kidney","kidney"
"1056","ACH-001088","HLC1","HLC1_LUNG","lung","lung"
"1057","ACH-001089","HLE","HLE_LIVER","liver","liver"
"1058","ACH-001090","HN","HN_UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive"
"1059","ACH-001091","HRT18","HRT18_LARGE_INTESTINE","large_intestine","colorectal"
"1060","ACH-001092","HS571T","HS571T_OVARY","ovary","ovarian"
"1061","ACH-001093","HS604T","HS604T_FIBROBLAST","fibroblast","fibroblast"
"1062","ACH-001094","HTK","HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1063","ACH-001096","JR","JR_SOFT_TISSUE","soft_tissue","rhabdomyosarcoma"
"1064","ACH-001097","KARPAS384","KARPAS384_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1065","ACH-001098","KCIMOH1","KCIMOH1_PANCREAS","pancreas","pancreas"
"1066","ACH-001099","KD","KD_SOFT_TISSUE","soft_tissue","rhabdoid"
"1067","ACH-001100","KHYG","KHYG_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1068","ACH-001101","KLM1","KLM1_PANCREAS","pancreas","pancreas"
"1069","ACH-001106","KOPN8","KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1070","ACH-001107","KP1N","KP1N_PANCREAS","pancreas","pancreas"
"1071","ACH-001108","KP1NL","KP1NL_PANCREAS","pancreas","pancreas"
"1072","ACH-001109","KPMRTRY","KPMRTRY_SOFT_TISSUE","soft_tissue","rhabdoid"
"1073","ACH-001111","L82","L82_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid"
"1074","ACH-001113","LC1SQSF","LC1SQSF_LUNG","lung","lung"
"1075","ACH-001118","M059J","M059J_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","central_nervous_system"
