"","DepMap_ID","Cell_line","CCLE_histology","CCLE_name","disease","TCGA_classification","grouped_general_doid"
"264","ACH-000263","KASUMI1","haematopoietic_and_lymphoid_tissue","KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","LAML","DOID:1240"
"265","ACH-000264","CALU6","lung","CALU6_LUNG","lung","LUAD","DOID:1324"
"266","ACH-000265","KP4","pancreas","KP4_PANCREAS","pancreas","PAAD","DOID:1793"
"267","ACH-000266","SNU213","pancreas","SNU213_PANCREAS","pancreas","PAAD","DOID:1793"
"268","ACH-000267","HDLM2","haematopoietic_and_lymphoid_tissue","HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid",NA,"DOID:0060058"
"269","ACH-000268","SNU245","biliary_tract","SNU245_BILIARY_TRACT","bile_duct","CHOL","DOID:4607"
"270","ACH-000269","AM38","central_nervous_system","AM38_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"271","ACH-000270","HPAC","pancreas","HPAC_PANCREAS","pancreas","PAAD","DOID:1793"
"272","ACH-000271","SUDHL10","haematopoietic_and_lymphoid_tissue","SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"273","ACH-000272","SLR24","kidney","SLR24_KIDNEY","kidney","KIRC","DOID:263"
"274","ACH-000273","SF539","central_nervous_system","SF539_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"275","ACH-000274","HS852T","skin","HS852T_SKIN","skin","SKCM","DOID:4159"
"276","ACH-000275","HS834T","fibroblast","HS834T_FIBROBLAST","fibroblast","SKCM","DOID:4159"
"277","ACH-000276","HCC38","breast","HCC38_BREAST","breast","BRCA","DOID:1612"
"278","ACH-000277","HCC1419","breast","HCC1419_BREAST","breast","BRCA","DOID:1612"
"279","ACH-000278","COV362","ovary","COV362_OVARY","ovary","OV","DOID:2394"
"280","ACH-000279","EWS502","bone","EWS502_BONE","bone","SARC","DOID:184"
"281","ACH-000280","SNU840","ovary","SNU840_OVARY","ovary","OV","DOID:2394"
"282","ACH-000281","KP2","pancreas","KP2_PANCREAS","pancreas","PAAD","DOID:1793"
"283","ACH-000282","NCIH1755","lung","NCIH1755_LUNG","lung","LUAD","DOID:1324"
"284","ACH-000283","A1207","central_nervous_system","A1207_CENTRAL_NERVOUS_SYSTEM","central_nervous_system","GBMLGG","DOID:3620"
"285","ACH-000284","HS840T","fibroblast","HS840T_FIBROBLAST","fibroblast","HNSC","DOID:162"
"286","ACH-000285","TOLEDO","haematopoietic_and_lymphoid_tissue","TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"287","ACH-000286","SNU1033","large_intestine","SNU1033_LARGE_INTESTINE","colorectal","COADREAD","DOID:9256"
"288","ACH-000287","NUDUL1","haematopoietic_and_lymphoid_tissue","NUDUL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","haematopoietic_and_lymphoid","DLBC","DOID:0060058"
"289","ACH-000288","BT549","breast","BT549_BREAST","breast","BRCA","DOID:1612"
